probe,layer,depth,group_kind,group,n,n_reads,pct_reads,threshold,ref_fpr,ref_tpr,n_ref,gap_position
story_v2,11,0.3929,all,all,100,1,1.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,family,fiction_narrative,35,1,2.857142857142857,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,family,hybrid,20,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,family,nonfiction_other,15,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,family,roleplay_persona,30,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,source,in_the_wild,73,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,source,strongreject,19,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,technique,in_the_wild_wrapper,73,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Disinformation,9,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Economic harm,13,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Expert advice,11,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Fraud/Deception,9,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Government decision-making,11,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Harassment/Discrimination,5,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Malware/Hacking,13,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Physical harm,9,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Privacy,10,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,11,0.3929,category,Sexual/Adult content,5,0,0.0,-0.13778972625732422,0.06153846153846154,1.0,65,-0.08237131065913265
story_v2,12,0.4286,all,all,100,1,1.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,family,fiction_narrative,35,1,2.857142857142857,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,family,hybrid,20,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,family,nonfiction_other,15,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,family,roleplay_persona,30,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,source,in_the_wild,73,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,source,strongreject,19,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,technique,in_the_wild_wrapper,73,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Disinformation,9,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Economic harm,13,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Expert advice,11,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Fraud/Deception,9,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Government decision-making,11,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Harassment/Discrimination,5,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Malware/Hacking,13,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Physical harm,9,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Privacy,10,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,12,0.4286,category,Sexual/Adult content,5,0,0.0,-0.14721345901489258,0.046153846153846156,1.0,65,0.07439906583132955
story_v2,13,0.4643,all,all,100,1,1.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,family,fiction_narrative,35,1,2.857142857142857,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,family,hybrid,20,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,family,nonfiction_other,15,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,family,roleplay_persona,30,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,source,in_the_wild,73,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,source,strongreject,19,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,technique,in_the_wild_wrapper,73,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Disinformation,9,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Economic harm,13,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Expert advice,11,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Fraud/Deception,9,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Government decision-making,11,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Harassment/Discrimination,5,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Malware/Hacking,13,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Physical harm,9,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Privacy,10,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,13,0.4643,category,Sexual/Adult content,5,0,0.0,-0.15846073627471924,0.046153846153846156,1.0,65,0.025524896591943
story_v2,14,0.5,all,all,100,5,5.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,family,fiction_narrative,35,3,8.571428571428571,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,family,hybrid,20,1,5.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,family,nonfiction_other,15,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,family,roleplay_persona,30,1,3.3333333333333335,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,source,in_the_wild,73,2,2.73972602739726,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,source,strongreject,19,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,technique,in_the_wild_wrapper,73,2,2.73972602739726,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Disinformation,9,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Economic harm,13,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Expert advice,11,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Fraud/Deception,9,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Government decision-making,11,1,9.090909090909092,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Harassment/Discrimination,5,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Malware/Hacking,13,2,15.384615384615385,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Physical harm,9,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Privacy,10,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,14,0.5,category,Sexual/Adult content,5,0,0.0,-0.21305370330810547,0.046153846153846156,1.0,65,0.15104732806519114
story_v2,15,0.5357,all,all,100,19,19.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,family,fiction_narrative,35,12,34.285714285714285,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,family,hybrid,20,4,20.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,family,nonfiction_other,15,0,0.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,family,roleplay_persona,30,3,10.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,source,in_the_wild,73,13,17.80821917808219,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,source,strongreject,19,1,5.2631578947368425,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,technique,in_the_wild_wrapper,73,13,17.80821917808219,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Disinformation,9,0,0.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Economic harm,13,0,0.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Expert advice,11,2,18.181818181818183,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Fraud/Deception,9,2,22.22222222222222,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Government decision-making,11,4,36.36363636363637,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Harassment/Discrimination,5,1,20.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Malware/Hacking,13,2,15.384615384615385,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Physical harm,9,2,22.22222222222222,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Privacy,10,2,20.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,15,0.5357,category,Sexual/Adult content,5,1,20.0,-0.23186731338500977,0.046153846153846156,1.0,65,0.0924775359563712
story_v2,16,0.5714,all,all,100,15,15.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,family,fiction_narrative,35,10,28.571428571428573,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,family,hybrid,20,3,15.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,family,nonfiction_other,15,0,0.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,family,roleplay_persona,30,2,6.666666666666667,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,source,in_the_wild,73,9,12.32876712328767,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,source,strongreject,19,1,5.2631578947368425,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,technique,in_the_wild_wrapper,73,9,12.32876712328767,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Disinformation,9,0,0.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Economic harm,13,0,0.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Expert advice,11,1,9.090909090909092,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Fraud/Deception,9,1,11.11111111111111,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Government decision-making,11,4,36.36363636363637,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Harassment/Discrimination,5,1,20.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Malware/Hacking,13,2,15.384615384615385,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Physical harm,9,2,22.22222222222222,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Privacy,10,1,10.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,16,0.5714,category,Sexual/Adult content,5,0,0.0,-0.233903169631958,0.046153846153846156,1.0,65,0.10498121420448446
story_v2,17,0.6071,all,all,100,23,23.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,family,fiction_narrative,35,14,40.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,family,hybrid,20,6,30.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,family,nonfiction_other,15,0,0.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,family,roleplay_persona,30,3,10.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,source,in_the_wild,73,18,24.65753424657534,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,source,strongreject,19,0,0.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,technique,in_the_wild_wrapper,73,18,24.65753424657534,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Disinformation,9,0,0.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Economic harm,13,1,7.6923076923076925,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Expert advice,11,4,36.36363636363637,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Fraud/Deception,9,2,22.22222222222222,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Government decision-making,11,3,27.272727272727273,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Harassment/Discrimination,5,1,20.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Malware/Hacking,13,3,23.076923076923077,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Physical harm,9,3,33.333333333333336,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Privacy,10,2,20.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,17,0.6071,category,Sexual/Adult content,5,1,20.0,-0.2315196990966797,0.03076923076923077,1.0,65,0.2065551935426261
story_v2,18,0.6429,all,all,100,44,44.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,family,fiction_narrative,35,18,51.42857142857143,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,family,hybrid,20,12,60.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,family,nonfiction_other,15,3,20.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,family,roleplay_persona,30,11,36.666666666666664,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,source,in_the_wild,73,32,43.83561643835616,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,source,strongreject,19,5,26.31578947368421,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,technique,in_the_wild_wrapper,73,32,43.83561643835616,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Disinformation,9,2,22.22222222222222,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Economic harm,13,4,30.76923076923077,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Expert advice,11,6,54.54545454545455,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Fraud/Deception,9,3,33.333333333333336,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Government decision-making,11,6,54.54545454545455,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Harassment/Discrimination,5,3,60.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Malware/Hacking,13,4,30.76923076923077,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Physical harm,9,5,55.55555555555556,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Privacy,10,3,30.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,18,0.6429,category,Sexual/Adult content,5,3,60.0,-0.23839354515075684,0.015384615384615385,1.0,65,0.20533882587501365
story_v2,19,0.6786,all,all,100,72,72.0,-0.25684642791748047,0.0,1.0,65,0.39192468808354375
story_v2,19,0.6786,family,fiction_narrative,35,21,60.0,-0.25684642791748047,0.0,1.0,65,0.39192468808354375
story_v2,19,0.6786,family,hybrid,20,19,95.0,-0.25684642791748047,0.0,1.0,65,0.39192468808354375
story_v2,19,0.6786,family,nonfiction_other,15,7,46.666666666666664,-0.25684642791748047,0.0,1.0,65,0.39192468808354375
