pair_id,split,narr_mode,realism,nonnarr_style,tense_narr,tense_nonnarr,tense_polarity,context,prompt_narrative,prompt_nonnarrative,text_narrative,text_nonnarrative,n_words_narr,n_words_nonnarr
v2-tr-01,train,scenic_past,realistic,criterial,past,present,default,weather_station,"Continue the text below.

Teodora carried the balloon out at ten to six, both arms under it, and the wind took the skin against her chin before she reached the launch square. The sonde swung on its cord and knocked her knee twice. She waited for the gust to pass, counted, and let go a little too early — the balloon went up sideways and the cord snapped taut against the mast.","Continue the text below.

A failed launch is a matter of ascent angle, not of damage. Sideways ascent, meaning departure from vertical beyond thirty degrees, is one class of failure; contact between the cord and the mast is a second, independent of the first. Neither concerns the sonde. Wind speed at the square is the usual cause of both, and the gust interval, not the balloon or the skin, sets the margin.","Teodora carried the balloon out at ten to six, both arms under it, and the wind took the skin against her chin before she reached the launch square. The sonde swung on its cord and knocked her knee twice. She waited for the gust to pass, counted, and let go a little too early — the balloon went up sideways and the cord snapped taut against the mast.","A failed launch is a matter of ascent angle, not of damage. Sideways ascent, meaning departure from vertical beyond thirty degrees, is one class of failure; contact between the cord and the mast is a second, independent of the first. Neither concerns the sonde. Wind speed at the square is the usual cause of both, and the gust interval, not the balloon or the skin, sets the margin.",67,68
v2-tr-02,train,scenic_past,non_realistic,criterial,past,past,both_past,lighthouse,"Continue the text below.

The lamp had been unattended for eleven weeks when Salla climbed to the gallery and found the lens turning. It turned at the proper rate, four revolutions to the minute, and the clockwork beneath it was seized solid with rust. She put her hand on the drive weight. The chain was slack the whole of its length, and the weight hung an inch clear of the floor, and the lens went on turning.","Continue the text below.

Rate was the sole criterion of a sound lamp: four revolutions to the minute, no more and no less, whatever the state of the clockwork. Rust on the drive was a matter for the record and not a fault in itself. A slack chain was the one condition that counted against the lens, since weight clear of the floor was the definition of a stopped train, not of a turning one.","The lamp had been unattended for eleven weeks when Salla climbed to the gallery and found the lens turning. It turned at the proper rate, four revolutions to the minute, and the clockwork beneath it was seized solid with rust. She put her hand on the drive weight. The chain was slack the whole of its length, and the weight hung an inch clear of the floor, and the lens went on turning.","Rate was the sole criterion of a sound lamp: four revolutions to the minute, no more and no less, whatever the state of the clockwork. Rust on the drive was a matter for the record and not a fault in itself. A slack chain was the one condition that counted against the lens, since weight clear of the floor was the definition of a stopped train, not of a turning one.",73,71
v2-tr-03,train,oral,realistic,criterial,past,past,both_past,shearing_shed,"Continue the text below.

Nobody in the shed would work behind Tomos, and there was a reason for it. He took a fleece off in one piece, never two, and he did it faster than the man on the next stand could do it badly. The trouble was the second cuts. He left them all over the board, and the classer had to pick through every fleece he threw, and it cost more time than he saved.","Continue the text below.

A fleece was classed on the length of its staple and on the proportion of second cuts in it, and the two were independent of each other. Speed at the stand was no part of the class, nor was a fleece off in one piece worth more than a fleece off in two. Second cuts loose on the board were of no account; those bound into the fleece cost the classer time.","Nobody in the shed would work behind Tomos, and there was a reason for it. He took a fleece off in one piece, never two, and he did it faster than the man on the next stand could do it badly. The trouble was the second cuts. He left them all over the board, and the classer had to pick through every fleece he threw, and it cost more time than he saved.","A fleece was classed on the length of its staple and on the proportion of second cuts in it, and the two were independent of each other. Speed at the stand was no part of the class, nor was a fleece off in one piece worth more than a fleece off in two. Second cuts loose on the board were of no account; those bound into the fleece cost the classer time.",73,72
v2-tr-04,train,scenic_past,realistic,criterial,past,present,default,bell_foundry,"Continue the text below.

Iolanda broke the mould at dawn and the bell came out whole, which was the first thing, and then she saw the line. It ran from the shoulder to the waist, a hair's width, grey against grey. She struck the bell with the heel of her hand and it answered true. She struck it again at the waist, over the line, and the note went flat and stayed flat.","Continue the text below.

A casting flaw is graded by its depth and its position, never by its length or its width. A grey line at the shoulder is cosmetic, since the shoulder carries little of the vibration. The same line at the waist is disqualifying, because the waist is where the note of a bell is set. Soundness under one strike of the hand is no criterion; what counts is whether the note holds flat.","Iolanda broke the mould at dawn and the bell came out whole, which was the first thing, and then she saw the line. It ran from the shoulder to the waist, a hair's width, grey against grey. She struck the bell with the heel of her hand and it answered true. She struck it again at the waist, over the line, and the note went flat and stayed flat.","A casting flaw is graded by its depth and its position, never by its length or its width. A grey line at the shoulder is cosmetic, since the shoulder carries little of the vibration. The same line at the waist is disqualifying, because the waist is where the note of a bell is set. Soundness under one strike of the hand is no criterion; what counts is whether the note holds flat.",69,72
v2-tr-05,train,present,non_realistic,criterial,present,past,reversed,archery_range,"Continue the text below.

Maret's third arrow goes into the same hole as her second, which the range master has never seen, and she does not look pleased about it. She nocks the fourth. Behind the target the straw is packed too loose and the shafts are punching clean through into the earth bank. She has lost two heads already this morning. She shoots anyway, and the fourth goes through as well.","Continue the text below.

A grouping was judged on its diameter alone, and arrows in one hole were counted as a group of nil, which was the highest score available. Loss of a head was a matter for the range's account and never for the score. Shafts through the target were not a fault in the shot; the fault lay in the packing of the straw and in the bank behind it.","Maret's third arrow goes into the same hole as her second, which the range master has never seen, and she does not look pleased about it. She nocks the fourth. Behind the target the straw is packed too loose and the shafts are punching clean through into the earth bank. She has lost two heads already this morning. She shoots anyway, and the fourth goes through as well.","A grouping was judged on its diameter alone, and arrows in one hole were counted as a group of nil, which was the highest score available. Loss of a head was a matter for the range's account and never for the score. Shafts through the target were not a fault in the shot; the fault lay in the packing of the straw and in the bank behind it.",68,68
v2-tr-06,train,oral,realistic,criterial,past,present,default,dairy,"Continue the text below.

The dairy at Kelso had a churn that soured milk in half the time of any other in the district and nobody ever worked out why. They scalded it, they scrubbed it, they took the staves apart one winter and put them back in the same order. Old Bregha said it was the wood and the rest said it was the water, and it went on souring milk for thirty years.","Continue the text below.

Souring is timed from the set of the curd, not from the first change in smell, and the two are hours apart. A churn is held responsible only where the same milk sours in it and keeps in another of the same wood, and the staves are no part of the question. Water hardness is the commoner cause, since it acts on every vessel in a district rather than on one.","The dairy at Kelso had a churn that soured milk in half the time of any other in the district and nobody ever worked out why. They scalded it, they scrubbed it, they took the staves apart one winter and put them back in the same order. Old Bregha said it was the wood and the rest said it was the water, and it went on souring milk for thirty years.","Souring is timed from the set of the curd, not from the first change in smell, and the two are hours apart. A churn is held responsible only where the same milk sours in it and keeps in another of the same wood, and the staves are no part of the question. Water hardness is the commoner cause, since it acts on every vessel in a district rather than on one.",71,71
v2-tr-07,train,present,realistic,criterial,present,past,reversed,glider,"Continue the text below.

Ferran finds the thermal by the crows and not by the instrument, which is a second behind him the whole way. He banks hard left and holds thirty degrees. The variometer catches up, reads four metres up, then two, then nothing at all, and he is out the far side of it before the needle has settled. He comes round again on the same crows.","Continue the text below.

A thermal was reckoned found where lift held for a full turn, and a single reading in metres was not sufficient. Instrument lag was allowed for by discounting the first seconds of any indication, the needle being slower than the air. Crows were evidence of a core, not of its strength, and a bank angle beyond thirty degrees was held to lose more in drag than it gained.","Ferran finds the thermal by the crows and not by the instrument, which is a second behind him the whole way. He banks hard left and holds thirty degrees. The variometer catches up, reads four metres up, then two, then nothing at all, and he is out the far side of it before the needle has settled. He comes round again on the same crows.","A thermal was reckoned found where lift held for a full turn, and a single reading in metres was not sufficient. Instrument lag was allowed for by discounting the first seconds of any indication, the needle being slower than the air. Crows were evidence of a core, not of its strength, and a bank angle beyond thirty degrees was held to lose more in drag than it gained.",65,68
v2-tr-08,train,folktale,non_realistic,criterial,past,past,both_past,ward_stones,"Continue the text below.

There was a keep whose walls were held by four ward-stones, and the youngest daughter of the house was set to read them each Michaelmas. Three she found sound. The fourth had gone the colour of wet ash at the seam and rang hollow under her knuckle, and she wrote it down as sound, because the mason who had cut it was her father, and she was fifteen.","Continue the text below.

A ward-stone was read at the seam and nowhere else, colour first and tone second. Ash-grey at the seam was the sole disqualifying colour; every other shade was permitted whatever its depth. A hollow tone was corroborating and never sufficient on its own, since tone was a property of the mounting as much as of the stone, and a sound stone badly set rang hollow too.","There was a keep whose walls were held by four ward-stones, and the youngest daughter of the house was set to read them each Michaelmas. Three she found sound. The fourth had gone the colour of wet ash at the seam and rang hollow under her knuckle, and she wrote it down as sound, because the mason who had cut it was her father, and she was fifteen.","A ward-stone was read at the seam and nowhere else, colour first and tone second. Ash-grey at the seam was the sole disqualifying colour; every other shade was permitted whatever its depth. A hollow tone was corroborating and never sufficient on its own, since tone was a property of the mounting as much as of the stone, and a sound stone badly set rang hollow too.",68,66
v2-tr-09,train,present,non_realistic,criterial,present,past,reversed,spacecraft_hull,"Continue the text below.

Adaeze is nine hours into the survey and the pitting on panel forty is not what the manifest says it should be. The holes are round. Every other panel on the ship shows the long grazes of a glancing strike, and forty is punched clean through in nine places, front to back, as though something had come at it square. She marks it and moves to forty-one.","Continue the text below.

Pitting was classed by the ratio of depth to width, and a round hole and a long graze were separate classes with separate tolerances. Count was secondary to class, and the manifest count secondary again. Penetration front to back was disqualifying in either class, whatever the count, since the criterion was the integrity of the panel rather than the number of strikes on its face.","Adaeze is nine hours into the survey and the pitting on panel forty is not what the manifest says it should be. The holes are round. Every other panel on the ship shows the long grazes of a glancing strike, and forty is punched clean through in nine places, front to back, as though something had come at it square. She marks it and moves to forty-one.","Pitting was classed by the ratio of depth to width, and a round hole and a long graze were separate classes with separate tolerances. Count was secondary to class, and the manifest count secondary again. Penetration front to back was disqualifying in either class, whatever the count, since the criterion was the integrity of the panel rather than the number of strikes on its face.",67,65
v2-tr-10,train,scenic_past,non_realistic,criterial,past,present,default,sighting_society,"Continue the text below.

The society's fourth secretary was a man named Bosch who had never seen anything and did not expect to. He filed reports for nine years. In the tenth he sat up with a lamp in the east corridor of a house in Ghent, and at two he wrote a line in the register and closed it, and he resigned the following week without adding to the entry.","Continue the text below.

A report is admitted to the society's register on the number of independent witnesses and on the interval between the sighting and the entry, and on nothing else. A single witness is admissible where the interval is under an hour. Length is no criterion; a line filed at the hour carries the weight of a full account, and an account a week later carries none. The secretary holds both.","The society's fourth secretary was a man named Bosch who had never seen anything and did not expect to. He filed reports for nine years. In the tenth he sat up with a lamp in the east corridor of a house in Ghent, and at two he wrote a line in the register and closed it, and he resigned the following week without adding to the entry.","A report is admitted to the society's register on the number of independent witnesses and on the interval between the sighting and the entry, and on nothing else. A single witness is admissible where the interval is under an hour. Length is no criterion; a line filed at the hour carries the weight of a full account, and an account a week later carries none. The secretary holds both.",67,69
