probe,layer,depth,group_kind,group,n,n_reads,pct_reads,threshold,ref_fpr,ref_tpr,n_ref,gap_position
story_v2_1k,0,0.0,all,all,1009,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,family,fiction_narrative,472,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,family,hybrid,153,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,family,nonfiction_other,78,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,family,roleplay_persona,306,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,deep_inception,57,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,in_the_wild,400,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,jailbreak_mimicry,300,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,jbb_jbc,32,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,jbb_pair,84,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,source,strongreject,136,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,aim,32,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,creative_form_poetry,12,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,creative_task_distractor,12,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,dev_mode,24,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,encoding,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,encyclopedic_framing,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,evil_confidant,12,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,few_shot_json,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,gcg_transfer,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,in_the_wild_wrapper,400,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,narrative_mimicry,300,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,nested_fiction,57,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,pair_generated,84,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,persona_plus_obfuscation,12,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,prefix_injection,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,refusal_suppression,8,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,technique,style_injection,16,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Disinformation,55,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Economic harm,65,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Expert advice,62,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Fraud/Deception,83,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Government decision-making,80,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Harassment/Discrimination,63,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Malware/Hacking,64,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Physical harm,63,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Privacy,80,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,0,0.0,category,Sexual/Adult content,37,0,0.0,0.0,0.0,0.0,1000,nan
story_v2_1k,1,0.0156,all,all,1009,308,30.525272547076312,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,family,fiction_narrative,472,245,51.90677966101695,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,family,hybrid,153,19,12.418300653594772,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,family,nonfiction_other,78,8,10.256410256410257,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,family,roleplay_persona,306,36,11.764705882352942,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,deep_inception,57,0,0.0,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,in_the_wild,400,74,18.5,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,jailbreak_mimicry,300,223,74.33333333333333,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,jbb_jbc,32,0,0.0,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,jbb_pair,84,3,3.5714285714285716,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,source,strongreject,136,8,5.882352941176471,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,technique,aim,32,0,0.0,0.013481177389621735,0.093,0.903,1000,nan
story_v2_1k,1,0.0156,technique,creative_form_poetry,12,0,0.0,0.013481177389621735,0.093,0.903,1000,nan
