timestamp,script,stem,run_key,git_sha,git_dirty,outcome,resumed_from,wall_s,argv
2026-08-17T13:14:17,cache_activations.py,cache_activations__story_v2_1k__train,788cd7e62f00599c,f122b07c02c9,True,written,0,47.4,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:14:33,cache_activations.py,cache_activations__story_v2_1k__heldout,a1a70d3a92b1520f,f122b07c02c9,True,written,0,16.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:15:02,cache_activations.py,cache_activations__persona_v2__train,d8753c799cab7c76,f122b07c02c9,True,written,0,28.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:15:14,cache_activations.py,cache_activations__persona_v2__heldout,0006011cadd8a610,f122b07c02c9,True,written,0,11.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:15:46,cache_activations.py,cache_activations__harm_v2__train,0667d4190669c813,f122b07c02c9,True,resumed,122,31.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:15:59,cache_activations.py,cache_activations__harm_v2__heldout,93ad8bba7d786d82,f122b07c02c9,True,resumed,37,12.4,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:16:27,cache_activations.py,cache_activations__eval_v2__train,67814d209db4c20f,f122b07c02c9,True,written,0,27.5,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:16:38,cache_activations.py,cache_activations__eval_v2__heldout,4b4a6611056af71d,f122b07c02c9,True,written,0,11.3,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --dataset story_v2_1k,persona_v2,harm_v2,eval_v2 --split train,heldout"
2026-08-17T13:18:37,extract_direction.py,directions__story_v2_1k,84ae50fcfa6902c4,f122b07c02c9,True,written,0,6.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction story_v2_1k --curve"
2026-08-17T13:19:30,probe_select.py,probe_select__story_v2_1k,351bddbbd30fd313,f122b07c02c9,True,written,0,50.7,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction story_v2_1k"
2026-08-17T13:20:35,extract_direction.py,directions__persona_v2,5d633ee109a08c14,f122b07c02c9,True,written,0,6.0,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction persona_v2 --curve"
2026-08-17T13:21:27,probe_select.py,probe_select__persona_v2,07f7aa3a24da689b,f122b07c02c9,True,written,0,50.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction persona_v2"
2026-08-17T13:22:33,extract_direction.py,directions__harm_v2,99b9e0570fc93b87,f122b07c02c9,True,written,0,6.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction harm_v2 --curve"
2026-08-17T13:23:25,probe_select.py,probe_select__harm_v2,40520e54ca7b7893,f122b07c02c9,True,written,0,50.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction harm_v2"
2026-08-17T13:24:30,extract_direction.py,directions__eval_v2,a4117d8a033896c5,f122b07c02c9,True,written,0,5.9,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction eval_v2 --curve"
2026-08-17T13:25:23,probe_select.py,probe_select__eval_v2,618efaaceb3e0dfe,f122b07c02c9,True,written,0,51.7,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --direction eval_v2"
2026-08-17T13:25:40,plot_figures.py,plot__harm_v2,3ddd4b4143ad2c71,f122b07c02c9,True,written,0,6.3,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --with-heldout"
2026-08-17T13:25:46,plot_figures.py,plot__story_v2_1k,20fe0e2243616d39,f122b07c02c9,True,written,0,6.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --with-heldout"
2026-08-17T13:25:52,plot_figures.py,plot__persona_v2,98a6bf05f99453fe,f122b07c02c9,True,written,0,6.2,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --with-heldout"
2026-08-17T13:25:58,plot_figures.py,plot__eval_v2,05283585eb51ab38,f122b07c02c9,True,written,0,6.3,"Qwen/Qwen2.5-32B-Instruct --tag 1K_per_direction --with-heldout"
