pair_id,src_id,batch,domain,split,narr_mode,genre,realism,nonnarr_style,tense_narr,tense_nonnarr,tense_polarity,context,arm,label,prompt,text,n_words
v2k-tr-0001,b01-01,1,maritime_and_rivers,train,reported,realist_work,realistic,technical,present,past,reversed,bucket_dredger_ladder,narrative,1,"Continue the text below.

The bucket dredger at the north basin stops work at half past nine on a Tuesday and does not resume. Her ladder is down forty feet and the third bucket in the chain has come off its pin. Divers go down twice before noon. The bucket lies on the basin floor under six feet of silt, upside down, with the pin still in it and the shackle sound, and the tumbler above is unmarked.","The bucket dredger at the north basin stops work at half past nine on a Tuesday and does not resume. Her ladder is down forty feet and the third bucket in the chain has come off its pin. Divers go down twice before noon. The bucket lies on the basin floor under six feet of silt, upside down, with the pin still in it and the shackle sound, and the tumbler above is unmarked.",74
v2k-tr-0001,b01-01,1,maritime_and_rivers,train,reported,realist_work,realistic,technical,present,past,reversed,bucket_dredger_ladder,nonnarrative,0,"Continue the text below.

A bucket ladder was carried between the tumblers at its head and foot, and the buckets were links in a closed chain rather than separate vessels. Tension in the chain was a function of the ladder angle and of the load in the ascending run. Each bucket was pinned at two ears, and the pin was in shear under that tension alone. Without tension the pin and the ear were not in contact.","A bucket ladder was carried between the tumblers at its head and foot, and the buckets were links in a closed chain rather than separate vessels. Tension in the chain was a function of the ladder angle and of the load in the ascending run. Each bucket was pinned at two ears, and the pin was in shear under that tension alone. Without tension the pin and the ear were not in contact.",73
v2k-tr-0002,b01-02,1,maritime_and_rivers,train,oral,sea_voyage,realistic,glossary,past,present,default,sounding_lead_arming,narrative,1,"Continue the text below.

Every hand on the coasting trade knew the leadsman they called Tallow, and it was not for his name. He armed the lead with mutton fat instead of tallow proper and swore the bottom came up truer on it. Nobody argued while the soundings held. The one night the fat went rancid in the locker the whole chain of them went up on deck to smell it, and he armed the lead with tallow after that.","Every hand on the coasting trade knew the leadsman they called Tallow, and it was not for his name. He armed the lead with mutton fat instead of tallow proper and swore the bottom came up truer on it. Nobody argued while the soundings held. The one night the fat went rancid in the locker the whole chain of them went up on deck to smell it, and he armed the lead with tallow after that.",76
v2k-tr-0002,b01-02,1,maritime_and_rivers,train,oral,sea_voyage,realistic,glossary,past,present,default,sounding_lead_arming,nonnarrative,0,"Continue the text below.

Arming: the tallow or soap set in the hollow at the base of a sounding lead, in which a print of the bottom holds. Armed: of a lead, in that condition. Bare: the same lead without it, good for depth and of no use for the nature of the ground. Deep-sea lead: the heavier pattern, marked at greater intervals and hollowed deeper. Hand lead: the lighter of the two, and the only one armed by custom.","Arming: the tallow or soap set in the hollow at the base of a sounding lead, in which a print of the bottom holds. Armed: of a lead, in that condition. Bare: the same lead without it, good for depth and of no use for the nature of the ground. Deep-sea lead: the heavier pattern, marked at greater intervals and hollowed deeper. Hand lead: the lighter of the two, and the only one armed by custom.",76
v2k-tr-0003,b01-03,1,maritime_and_rivers,train,scenic,ghost,non_realistic,topographic,past,present,default,ferry_slipway_ramp,narrative,1,"Continue the text below.

Cold enough on the slip for the weed to be stiff underfoot, and Ansel had the chain up and the gate across at twenty past eleven. A car came down the ramp behind him with its lamps off. It stopped a yard from the chain and stood there with the engine going, and when he walked round to the driver's window there was frost on the inside of the glass and nothing behind it but the far bank.","Cold enough on the slip for the weed to be stiff underfoot, and Ansel had the chain up and the gate across at twenty past eleven. A car came down the ramp behind him with its lamps off. It stopped a yard from the chain and stood there with the engine going, and when he walked round to the driver's window there was frost on the inside of the glass and nothing behind it but the far bank.",78
v2k-tr-0003,b01-03,1,maritime_and_rivers,train,scenic,ghost,non_realistic,topographic,past,present,default,ferry_slipway_ramp,nonnarrative,0,"Continue the text below.

Two slipways face each other across a reach some four hundred yards wide. The ramp on the near side is concrete over rubble at a gradient of one in nine, with a chain gate at the head and a low wall on the upstream edge. Below the third course the surface is weed for most of the year. The far ramp is the steeper and the shorter, and neither is under water at any state of the tide.","Two slipways face each other across a reach some four hundred yards wide. The ramp on the near side is concrete over rubble at a gradient of one in nine, with a chain gate at the head and a low wall on the upstream edge. Below the third course the surface is weed for most of the year. The far ramp is the steeper and the shorter, and neither is under water at any state of the tide.",78
v2k-tr-0004,b01-04,1,maritime_and_rivers,train,chronicle,institutional,realistic,taxonomy,past,past,both_past,buoy_topmark_shapes,narrative,1,"Continue the text below.

In the third year of the new commissioners the buoyage of the lower reach was made over from stone beacons to floating marks. Nineteen buoys were laid between the bar and the coal quay that season. Four of them were laid with the topmarks of the wrong hand, and the error stood on the chart for two winters before a pilot out of the fishing village put the matter in writing to the board.","In the third year of the new commissioners the buoyage of the lower reach was made over from stone beacons to floating marks. Nineteen buoys were laid between the bar and the coal quay that season. Four of them were laid with the topmarks of the wrong hand, and the error stood on the chart for two winters before a pilot out of the fishing village put the matter in writing to the board.",74
v2k-tr-0004,b01-04,1,maritime_and_rivers,train,chronicle,institutional,realistic,taxonomy,past,past,both_past,buoy_topmark_shapes,nonnarrative,0,"Continue the text below.

Lateral marks were distinguished from cardinal marks by what the mark referred to: the side of a channel in one case, a quadrant of water about a danger in the other. Shape carried the distinction where colour was unreliable, so a can and a cone were of different hands, and a cone and a double cone of different classes. Isolated danger marks stood outside both, referred to a danger below and not to any channel.","Lateral marks were distinguished from cardinal marks by what the mark referred to: the side of a channel in one case, a quadrant of water about a danger in the other. Shape carried the distinction where colour was unreliable, so a can and a cone were of different hands, and a cone and a double cone of different classes. Isolated danger marks stood outside both, referred to a danger below and not to any channel.",75
v2k-tr-0005,b01-05,1,maritime_and_rivers,train,free_indirect,realist_work,realistic,morphology,present,past,reversed,sail_cloth_parts,narrative,1,"Continue the text below.

Nine cloths in the mainsail and Ferrer has counted them four times, because nine is what the sail carries and eight is what lies on the loft floor. Not a seam short — a whole cloth short, tabling and all, and the sail still measures to the foot on the chalk. The leech is where it should be. It is arithmetic that argues with a person rather than with the sail, and he counts again.","Nine cloths in the mainsail and Ferrer has counted them four times, because nine is what the sail carries and eight is what lies on the loft floor. Not a seam short — a whole cloth short, tabling and all, and the sail still measures to the foot on the chalk. The leech is where it should be. It is arithmetic that argues with a person rather than with the sail, and he counts again.",74
v2k-tr-0005,b01-05,1,maritime_and_rivers,train,free_indirect,realist_work,realistic,morphology,present,past,reversed,sail_cloth_parts,nonnarrative,0,"Continue the text below.

A gaff sail consisted of four edges and four corners, with the head at the gaff, the luff at the mast, the leech aft and the foot below. The body was made up of cloths seamed parallel to the leech, each of a width fixed by the loom. Tabling was a doubled band at every edge; a bolt rope stood outside it on the luff alone. Reef bands lay across the cloths and not along them.","A gaff sail consisted of four edges and four corners, with the head at the gaff, the luff at the mast, the leech aft and the foot below. The body was made up of cloths seamed parallel to the leech, each of a width fixed by the loom. Tabling was a doubled band at every edge; a bolt rope stood outside it on the luff alone. Reef bands lay across the cloths and not along them.",76
v2k-tr-0006,b01-06,1,maritime_and_rivers,train,folktale,folk_fantasy,non_realistic,taxonomy,past,past,both_past,caulk_pay_stop,narrative,1,"Continue the text below.

There was a caulker in a river yard who could hear a slack seam through a plank, and the yard gave her the boats nobody else would take. One winter a punt came in with every seam sound and a bilge full to the thwarts. She went over it twice on her knees with the mallet and heard nothing wrong, and she paid the seams over anyway, and the water came in as fast as before.","There was a caulker in a river yard who could hear a slack seam through a plank, and the yard gave her the boats nobody else would take. One winter a punt came in with every seam sound and a bilge full to the thwarts. She went over it twice on her knees with the mallet and heard nothing wrong, and she paid the seams over anyway, and the water came in as fast as before.",76
v2k-tr-0006,b01-06,1,maritime_and_rivers,train,folktale,folk_fantasy,non_realistic,taxonomy,past,past,both_past,caulk_pay_stop,nonnarrative,0,"Continue the text below.

What filled the seam separated caulking from paying: hemp driven hard in the one, hot pitch run over it in the other. Neither was a repair to the plank. Stopping was a third class, worked into a fault in the wood rather than into a joint between two pieces. Hardness was no part of the distinction, and only caulking bore on the tightness of a hull, the other two standing to it as covering stands to substance.","What filled the seam separated caulking from paying: hemp driven hard in the one, hot pitch run over it in the other. Neither was a repair to the plank. Stopping was a third class, worked into a fault in the wood rather than into a joint between two pieces. Hardness was no part of the distinction, and only caulking bore on the tightness of a hull, the other two standing to it as covering stands to substance.",77
v2k-tr-0007,b01-07,1,maritime_and_rivers,train,episodic,historical,realistic,spec,past,present,default,ballast_shingle_stowage,narrative,1,"Continue the text below.

The ballast heaver Mirek took work at three yards in one autumn. At the first he trimmed shingle level to a chalk line in the hold of a collier and was paid by the ton. At the second he shovelled it under the floors of a barge that had no floors left to speak of. At the third he was turned away at the gangway for asking after the shifting boards, and no reason was given.","The ballast heaver Mirek took work at three yards in one autumn. At the first he trimmed shingle level to a chalk line in the hold of a collier and was paid by the ton. At the second he shovelled it under the floors of a barge that had no floors left to speak of. At the third he was turned away at the gangway for asking after the shifting boards, and no reason was given.",76
v2k-tr-0007,b01-07,1,maritime_and_rivers,train,episodic,historical,realistic,spec,past,present,default,ballast_shingle_stowage,nonnarrative,0,"Continue the text below.

Shingle ballast is required to be trimmed level and to be confined by boards on the centre line for the whole length of the hold. Loose stone above the floors is permitted only where the hold is divided athwartships. Weight is to be distributed so that no bay carries more than its share by a tenth. Trimming to a chalk line is sufficient evidence of level, and a heaver's word is not admissible for it.","Shingle ballast is required to be trimmed level and to be confined by boards on the centre line for the whole length of the hold. Loose stone above the floors is permitted only where the hold is divided athwartships. Weight is to be distributed so that no bay carries more than its share by a tenth. Trimming to a chalk line is sufficient evidence of level, and a heaver's word is not admissible for it.",75
v2k-tr-0008,b01-08,1,maritime_and_rivers,train,scenic,horror_quiet,non_realistic,quantitative,present,past,reversed,weir_crest_discharge,narrative,1,"Continue the text below.

The gauge board at the weir reads eleven inches over the crest and the crest is dry. Halvard stands on the apron in his boots and there is no water on it at all, not a film, and the pool above is eleven inches higher than the lip, held up against nothing he can see. Downstream the river runs full. He puts a hand flat where the water should be going over, and the air there is wet.","The gauge board at the weir reads eleven inches over the crest and the crest is dry. Halvard stands on the apron in his boots and there is no water on it at all, not a film, and the pool above is eleven inches higher than the lip, held up against nothing he can see. Downstream the river runs full. He puts a hand flat where the water should be going over, and the air there is wet.",78
